,reference_identifier,ccy,rate_dt,mid
228145,DE0001135499,EUR,2021-08-31,102.268
228427,DE0001135499,EUR,2021-11-18,101.818
228527,DE0001135499,EUR,2021-01-09,102.256
228792,DE0001135499,EUR,2021-11-19,101.814
228993,DE0001135499,EUR,2021-11-22,101.8
229194,DE0001135499,EUR,2021-11-23,101.795
229395,DE0001135499,EUR,2021-11-24,101.813
229596,DE0001135499,EUR,2021-11-25,101.792
229797,DE0001135499,EUR,2021-11-26,101.775
229998,DE0001135499,EUR,2021-11-29,101.752
230199,DE0001135499,EUR,2021-11-30,101.751
230400,DE0001135499,EUR,2021-01-12,101.723
230601,DE0001135499,EUR,2021-02-12,101.714
230802,DE0001135499,EUR,2021-03-12,101.707
231003,DE0001135499,EUR,2021-06-12,101.711
231204,DE0001135499,EUR,2021-07-12,101.704
231405,DE0001135499,EUR,2021-08-12,101.712
231606,DE0001135499,EUR,2021-09-12,101.7
231807,DE0001135499,EUR,2021-10-12,101.675
232008,DE0001135499,EUR,2021-12-13,101.642
232209,DE0001135499,EUR,2021-12-14,101.614
232410,DE0001135499,EUR,2021-12-15,101.612
232612,DE0001135499,EUR,2021-12-16,101.631
232814,DE0001135499,EUR,2021-12-17,101.631
233016,DE0001135499,EUR,2021-12-20,101.63
233218,DE0001135499,EUR,2021-12-21,101.623
233420,DE0001135499,EUR,2021-12-22,101.61
233622,DE0001135499,EUR,2021-12-23,101.598
233824,DE0001135499,EUR,2021-12-24,101.588
234026,DE0001135499,EUR,2021-12-27,101.573
234228,DE0001135499,EUR,2021-12-28,101.566
234430,DE0001135499,EUR,2021-12-29,101.557
234632,DE0001135499,EUR,2021-12-30,101.528
234834,DE0001135499,EUR,2021-12-31,101.528
