deal_no,deal_dt,settle_dt,mature_dt,name,ext_name,code,name,name,country,isin,buy_sell, face_value ,bond_price,capitalpph,incomepph,settlepph,coupon
2942145,3/1/2019,3/5/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 20,000,000.00 ",100.588,100.588,0.03630137,100.6243014,0.25
3090133,7/12/2019,7/16/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",102.205,102.205,0,102.205,0
3242006,11/6/2019,11/8/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",102.995,102.995,0,102.995,0
3216228,10/17/2019,10/21/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",103.897,103.897,0,103.897,0
3225119,10/24/2019,10/28/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 10,000,000.00 ",103.773,103.773,0,103.773,0
3225120,10/24/2019,10/28/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 7,500,000.00 ",103.869,103.869,0,103.869,0
3194727,10/1/2019,10/3/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",105.274,105.274,0,105.274,0
3174139,9/17/2019,9/19/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 20,000,000.00 ",104.867,104.867,0,104.867,0
3198373,10/3/2019,10/7/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",105.923,105.923,0,105.923,0
3182193,9/23/2019,9/25/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 25,000,000.00 ",105.889428,105.889428,0,105.889428,0
3208916,10/11/2019,10/15/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",104.885,104.885,0,104.885,0
3214459,10/16/2019,10/18/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 10,000,000.00 ",104.293,104.293,0,104.293,0
3216328,10/17/2019,10/21/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 10,000,000.00 ",103.987,103.987,0,103.987,0
3239994,11/5/2019,11/7/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 2,500,000.00 ",103.296,103.296,0,103.296,0
3262555,11/22/2019,11/26/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",103.116,103.116,0,103.116,0
3262947,11/22/2019,11/26/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 25,000,000.00 ",103.485,103.485,0,103.485,0
3242250,11/6/2019,11/8/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",103.271,103.271,0,103.271,0
3282075,12/6/2019,12/10/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 10,000,000.00 ",102.801,102.801,0,102.801,0
3245602,11/8/2019,11/12/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",102.459,102.459,0,102.459,0
3239980,11/5/2019,11/7/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",103.165,103.165,0,103.165,0
3242253,11/6/2019,11/8/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",103.239,103.239,0,103.239,0
